Parent - Child Weight Probability Score
G1 -> G1 0.127668 0.997335 0.382605
G3 -| G1 -0.158025 0.999436 -0.474579
G4 -| G1 -0.085215 0.860614 -0.220371
G8 -| G1 -0.060418 0.604921 -0.109823
G10 -| G1 -0.109504 0.949472 -0.312421
G12 -| G1 -0.078069 0.871915 -0.204541
G13 -| G1 -0.049933 0.641663 -0.096277
G15 -> G1 0.105669 0.985953 0.313062
G16 -> G1 0.206645 0.998067 0.619744
G20 -| G1 -0.057537 0.765516 -0.132353
G21 -| G1 -0.081021 0.781862 -0.190351
G23 -> G1 0.072814 0.895147 0.195856
G26 -> G1 0.047170 0.550055 0.077965
G27 -> G1 0.054929 0.598814 0.098838
G28 -> G1 0.072625 0.899193 0.196230
G29 -> G1 0.065660 0.812461 0.160300
G30 -> G1 0.104266 0.984832 0.308554
G31 -| G1 -0.043436 0.606481 -0.079158
G34 -> G1 0.040788 0.598821 0.073393
G35 -> G1 0.298117 1.000000 0.895809
G38 -| G1 -0.045300 0.631850 -0.086008
G39 -> G1 0.044450 0.597465 0.079802
G41 -| G1 -0.168696 0.991568 -0.502639
G42 -| G1 -0.049253 0.589046 -0.087179
G43 -| G1 -0.072486 0.758135 -0.165131
G44 -| G1 -0.060121 0.786855 -0.142151
G45 -| G1 -0.064097 0.837566 -0.161320
G48 -> G1 0.088650 0.909631 0.242312
G50 -> G1 0.147449 0.999351 0.442779
G51 -| G1 -0.199798 0.999197 -0.599889
G52 -> G1 0.111260 0.991837 0.331596
G53 -| G1 -0.197309 0.997819 -0.591599
G54 -| G1 -0.055281 0.657982 -0.109300
G55 -> G1 0.046571 0.673790 0.094291
G58 -> G1 0.114951 0.984112 0.339927
G62 -> G1 0.094679 0.972385 0.276644
G63 -> G1 0.085146 0.870786 0.222796
G67 -> G1 0.049161 0.587465 0.086782
G68 -| G1 -0.115485 0.909645 -0.315666
G71 -| G1 -0.052951 0.596546 -0.094917
G72 -| G1 -0.046136 0.555550 -0.077017
G74 -> G1 0.071412 0.815764 0.175050
G75 -> G1 0.169400 0.998894 0.508466
G76 -| G1 -0.173385 0.996515 -0.519188
G77 -| G1 -0.091305 0.783952 -0.215087
G78 -| G1 -0.031670 0.509726 -0.048507
G79 -> G1 0.046026 0.619010 0.085612
G84 -| G1 -0.066623 0.667218 -0.133573
G86 -> G1 0.180566 0.999993 0.542577
G88 -| G1 -0.059404 0.766603 -0.136840
G93 -> G1 0.059564 0.734174 0.131404
G94 -> G1 0.068695 0.860576 0.177640
G95 -> G1 0.061627 0.804312 0.148943
G96 -| G1 -0.088776 0.952727 -0.254151
G97 -> G1 0.071894 0.749603 0.161939
G99 -| G1 -0.031892 0.516303 -0.049479
G100 -> G1 0.096502 0.981259 0.284542
G3 -> G2 0.054207 0.772480 0.125827
G4 -> G2 0.038042 0.526828 0.060222
G6 -| G2 -0.074607 0.936604 -0.209973
G8 -> G2 0.140009 0.999258 0.420400
G9 -> G2 0.064460 0.912446 0.176737
G10 -> G2 0.159917 0.999982 0.480523
G11 -> G2 0.028229 0.509631 0.043229
G13 -> G2 0.080990 0.964635 0.234760
G15 -| G2 -0.089745 0.991582 -0.267403
G17 -> G2 0.031552 0.520358 0.049334
G20 -> G2 0.042808 0.716881 0.092215
G21 -> G2 0.109290 0.973225 0.319612
G27 -| G2 -0.039410 0.568803 -0.067359
G28 -| G2 -0.058899 0.892455 -0.157950
G32 -| G2 -0.034492 0.645654 -0.066919
G35 -| G2 -0.157707 0.999985 -0.473886
G37 -> G2 0.029405 0.542750 0.047957
G38 -> G2 0.071953 0.922926 0.199546
G42 -> G2 0.057058 0.725820 0.124445
G43 -> G2 0.084303 0.907995 0.230013
G44 -> G2 0.117420 0.999593 0.352691
G48 -| G2 -0.100528 0.990720 -0.299271
G50 -| G2 -0.033819 0.527117 -0.053566
G51 -> G2 0.034992 0.545234 0.057330
G52 -| G2 -0.068061 0.937941 -0.191823
G53 -> G2 0.075982 0.793659 0.181206
G55 -> G2 0.042220 0.714228 0.090611
G56 -| G2 -0.032293 0.505986 -0.049100
G61 -> G2 0.024675 0.517620 0.038379
G62 -| G2 -0.099282 0.996214 -0.297203
G68 -> G2 0.175370 0.999157 0.526522
G70 -> G2 0.173506 0.999877 0.521303
G71 -> G2 0.045185 0.607162 0.082438
G72 -> G2 0.044384 0.604607 0.080635
G73 -> G2 0.037174 0.543591 0.060721
G75 -| G2 -0.049582 0.728957 -0.108605
G77 -> G2 0.039294 0.511382 0.060381
G78 -| G2 -0.027209 0.517356 -0.042299
G79 -| G2 -0.029235 0.526840 -0.046282
G85 -> G2 0.039325 0.614391 0.072601
G86 -| G2 -0.069447 0.942762 -0.196735
G88 -> G2 0.032381 0.589523 0.057361
G90 -> G2 0.048371 0.721467 0.104864
G95 -| G2 -0.036243 0.611772 -0.066625
G96 -> G2 0.056591 0.851440 0.144787
G98 -> G2 0.085642 0.988954 0.254501
G100 -| G2 -0.062590 0.922334 -0.173470
G6 -> G3 0.065365 0.851708 0.167287
G11 -> G3 0.061577 0.842583 0.155905
G12 -> G3 0.182845 1.000000 0.549429
G13 -| G3 -0.049940 0.705020 -0.105799
G14 -| G3 -0.041676 0.571740 -0.071600
G17 -| G3 -0.073796 0.855625 -0.189735
G18 -| G3 -0.032552 0.543114 -0.053124
G19 -> G3 0.062848 0.739008 0.139562
G22 -> G3 0.094277 0.903730 0.256020
G25 -> G3 0.040570 0.500659 0.061035
G27 -| G3 -0.047930 0.593405 -0.085464
G28 -> G3 0.123121 0.999384 0.369736
G29 -> G3 0.042832 0.666911 0.085834
G30 -| G3 -0.074375 0.940922 -0.210286
G34 -> G3 0.118990 0.999240 0.357279
G36 -> G3 0.109255 0.983236 0.322795
G37 -> G3 0.080654 0.932152 0.225913
G38 -> G3 0.055148 0.778159 0.128950
G39 -> G3 0.078841 0.925150 0.219177
G40 -> G3 0.038528 0.533774 0.061797
G41 -> G3 0.105567 0.899264 0.285262
G44 -> G3 0.090244 0.984990 0.267102
G46 -> G3 0.028496 0.502956 0.043066
G48 -> G3 0.124896 0.997765 0.374459
G53 -> G3 0.074095 0.739526 0.164654
G54 -| G3 -0.048998 0.651431 -0.095913
G55 -| G3 -0.036056 0.606654 -0.065727
G57 -> G3 0.031534 0.529948 0.050216
G58 -| G3 -0.043253 0.631011 -0.082013
G61 -> G3 0.062108 0.874760 0.163253
G65 -> G3 0.060456 0.736158 0.133734
G67 -| G3 -0.090500 0.916643 -0.249274
G68 -> G3 0.031029 0.512930 0.047825
G73 -> G3 0.101870 0.877055 0.268475
G74 -> G3 0.039496 0.607116 0.072054
G75 -> G3 0.028661 0.518712 0.044673
G77 -> G3 0.091223 0.855162 0.234413
G82 -> G3 0.132163 0.995188 0.395224
