Parent - Child Weight Probability Score
G5 -> G1 0.146447 0.527017 0.214190
G13 -| G1 -0.261259 0.994083 -0.720756
G15 -> G1 0.229132 0.986482 0.627292
G16 -> G1 0.288846 0.995889 0.798312
G18 -| G1 -0.259865 0.988713 -0.713039
G20 -> G1 0.174648 0.829098 0.401849
G21 -> G1 0.209789 0.840340 0.489252
G25 -| G1 -0.180291 0.679301 -0.339884
G26 -> G1 0.194811 0.753208 0.407215
G27 -> G1 0.186124 0.708766 0.366101
G28 -> G1 0.208204 0.947673 0.547573
G36 -> G1 0.182514 0.781862 0.396024
G38 -| G1 -0.196387 0.872790 -0.475682
G43 -| G1 -0.151650 0.532579 -0.224140
G48 -> G1 0.137170 0.511338 0.194653
G50 -> G1 0.151582 0.625288 0.263041
G52 -> G1 0.138642 0.577181 0.222076
G53 -| G1 -0.206556 0.853192 -0.489079
G57 -| G1 -0.196550 0.849492 -0.463370
G58 -> G1 0.278125 0.998106 0.770392
G62 -> G1 0.137200 0.575887 0.219274
G71 -> G1 0.209796 0.849986 0.494884
G82 -> G1 0.160372 0.631469 0.281045
G84 -| G1 -0.190385 0.749089 -0.395787
G85 -> G1 0.173128 0.692239 0.332597
G86 -> G1 0.132278 0.530103 0.194600
G89 -> G1 0.181514 0.798775 0.402373
G97 -> G1 0.202811 0.853448 0.480357
G6 -| G2 -0.202770 0.943876 -0.531146
G10 -| G2 -0.143918 0.609016 -0.243242
G15 -| G2 -0.264778 0.999794 -0.734663
G22 -> G2 0.143363 0.575852 0.229109
G28 -| G2 -0.204460 0.972466 -0.551796
G33 -> G2 0.154994 0.597725 0.257105
G42 -> G2 0.139993 0.556852 0.216343
G50 -> G2 0.137955 0.625916 0.239634
G52 -> G2 0.153356 0.760354 0.323603
G60 -> G2 0.127584 0.580338 0.205481
G61 -| G2 -0.150652 0.744431 -0.311240
G88 -> G2 0.217113 0.974707 0.587292
G90 -> G2 0.168433 0.851268 0.397913
G95 -> G2 0.152345 0.796563 0.336777
G96 -> G2 0.215414 0.991227 0.592572
G6 -> G3 0.201465 0.893472 0.499547
G15 -> G3 0.130334 0.523295 0.189277
G16 -| G3 -0.236996 0.947728 -0.623333
G24 -| G3 -0.193414 0.843479 -0.452749
G28 -> G3 0.131301 0.543272 0.197962
G34 -> G3 0.134933 0.551995 0.206704
G35 -| G3 -0.144636 0.571630 -0.229449
G38 -> G3 0.183776 0.835198 0.425965
G46 -> G3 0.162778 0.564745 0.255118
G48 -> G3 0.212567 0.949034 0.559851
G50 -> G3 0.167010 0.745900 0.345714
G51 -> G3 0.182544 0.731446 0.370548
G55 -> G3 0.193028 0.886549 0.474916
G61 -| G3 -0.131912 0.524508 -0.192013
G67 -| G3 -0.204499 0.845370 -0.479769
G68 -> G3 0.202642 0.819515 0.460873
G76 -| G3 -0.294349 0.998521 -0.815671
G78 -> G3 0.245501 0.986529 0.672137
G79 -| G3 -0.145776 0.605490 -0.244956
G81 -> G3 0.169182 0.683959 0.321128
G82 -> G3 0.218200 0.930425 0.563419
G85 -| G3 -0.197462 0.825237 -0.452228
G91 -| G3 -0.203861 0.886575 -0.501584
G92 -| G3 -0.136465 0.504273 -0.190977
G93 -> G3 0.192087 0.875162 0.466532
G95 -> G3 0.244181 0.994692 0.674055
G100 -| G3 -0.159441 0.752253 -0.332857
G1 -> G4 0.140787 0.562690 0.219850
G3 -> G4 0.164539 0.695074 0.317392
G5 -| G4 -0.189310 0.769160 -0.404097
G6 -> G4 0.149091 0.571666 0.236532
G7 -| G4 -0.259134 0.987185 -0.709933
G11 -> G4 0.136504 0.533296 0.202027
G19 -| G4 -0.206044 0.845038 -0.483206
G21 -> G4 0.223613 0.874566 0.542731
G22 -> G4 0.206169 0.859259 0.491635
G28 -| G4 -0.197198 0.897479 -0.491160
G29 -> G4 0.143536 0.546793 0.217810
G32 -> G4 0.144354 0.614805 0.246298
G36 -> G4 0.239491 0.970184 0.644820
G40 -> G4 0.248780 0.963485 0.665204
G48 -> G4 0.139062 0.503911 0.194472
G50 -> G4 0.192811 0.856383 0.458242
G53 -| G4 -0.258797 0.977807 -0.702276
G62 -> G4 0.168989 0.779172 0.365415
G71 -> G4 0.260833 0.972825 0.704194
G74 -> G4 0.207878 0.875513 0.505086
G76 -| G4 -0.291149 0.996561 -0.805220
G77 -| G4 -0.171510 0.623573 -0.296805
G84 -| G4 -0.206868 0.813858 -0.467236
G87 -> G4 0.153052 0.509292 0.216321
G89 -| G4 -0.312454 0.999711 -0.866873
G91 -| G4 -0.155586 0.597385 -0.257940
G96 -> G4 0.182657 0.860273 0.436081
G97 -| G4 -0.172693 0.661866 -0.317205
G98 -> G4 0.177973 0.833858 0.411852
G2 -| G5 -0.159143 0.668783 -0.295371
G5 -> G5 0.268581 0.999273 0.744826
G7 -| G5 -0.165698 0.788412 -0.362549
G9 -| G5 -0.137844 0.670342 -0.256436
G14 -> G5 0.159031 0.739187 0.326236
G27 -> G5 0.198678 0.862531 0.475574
G32 -| G5 -0.194321 0.958103 -0.516685
