Parent - Child Weight Probability Score
BCL6 -> BCL6 0.313299 1.000000 0.868624
EGR2 -> BCL6 0.274674 1.000000 0.761535
ETS1 -> BCL6 0.153194 0.547574 0.232572
LMO2 -> BCL6 0.153267 0.838980 0.356512
MAFB -> BCL6 0.276427 1.000000 0.766396
NFYA -> BCL6 0.140422 0.686245 0.267171
PPARD -> BCL6 0.142417 0.607822 0.240000
PPARG -> BCL6 0.157357 0.854223 0.372674
PRDM1 -> BCL6 0.146019 0.598305 0.242217
LMO2 -> CBFB 0.112103 0.835949 0.259818
PPARD -> CBFB 0.100643 0.567805 0.158437
RREB1 -> CBFB 0.095853 0.553122 0.146994
RUNX1 -> CBFB 0.107547 0.714724 0.213112
BCL6 -> CEBPB 0.117743 0.842680 0.275087
KLF10 -> CEBPB 0.112042 0.666123 0.206922
NFYA -> CEBPB 0.134628 0.900694 0.336192
RUNX1 -> CEBPB 0.106901 0.554637 0.164385
RXRB -> CEBPB 0.159213 0.961879 0.424593
SMAD4 -> CEBPB 0.131280 0.705466 0.256773
CEBPD -> CEBPD 0.125952 0.691190 0.241365
IRF8 -> CEBPD 0.119473 0.688035 0.227904
PPARG -> CEBPD 0.106941 0.708088 0.209945
RXRB -> CEBPD 0.125468 0.739608 0.257282
SMAD4 -> CEBPD 0.114919 0.562024 0.179069
TRIM28 -> CEBPD 0.143073 0.896796 0.355734
BCL6 -> EGR2 0.222634 0.999341 0.616848
EGR2 -> EGR2 0.329647 1.000000 0.913951
FOS -> EGR2 0.186529 0.912849 0.472083
KLF10 -> EGR2 0.147676 0.672479 0.275335
MAFB -> EGR2 0.308994 1.000000 0.856690
PPARD -> EGR2 0.144325 0.555487 0.222274
STAT1 -> EGR2 0.174380 0.773949 0.374180
LMO2 -> ELK1 0.132406 0.947799 0.347936
NFYA -> ELK1 0.129726 0.909672 0.327179
TRIM28 -> ELK1 0.107757 0.532773 0.159170
BCL6 -> ETS1 0.161139 0.999961 0.446742
BCL6 -> FLI1 0.116823 0.852719 0.276189
KLF10 -> FLI1 0.115623 0.727415 0.233184
NFYA -> FLI1 0.127442 0.862441 0.304729
NFYC -> FLI1 0.104338 0.538637 0.155816
RUNX1 -> FLI1 0.116368 0.712632 0.229917
UHRF1 -> FLI1 0.115409 0.670757 0.214624
EGR2 -> FOS 0.155417 0.975414 0.420300
KLF10 -> FOS 0.159110 0.954219 0.420940
KLF13 -> FOS 0.165015 0.933657 0.427154
PPARD -> FOS 0.118716 0.511060 0.168210
PPARG -> FOS 0.160725 0.974745 0.434359
RUNX1 -> FOS 0.146295 0.853585 0.346219
TCFL5 -> FOS 0.130811 0.506205 0.183588
KLF10 -> FOSB 0.109179 0.813339 0.246198
NFYC -> FOSB 0.096663 0.562093 0.150640
RXRB -> FOSB 0.098219 0.533410 0.145255
CEBPD -> HOXA10 0.121261 0.634373 0.213274
NFYA -> HOXA10 0.134374 0.929615 0.346331
KLF13 -> HOXA13 0.120110 0.578898 0.192776
NFYA -> HOXA13 0.126322 0.748015 0.261976
RUNX1 -> HOXA13 0.121184 0.665633 0.223642
RXRB -> HOXA13 0.158464 0.914962 0.401982
KLF10 -> IRF8 0.207189 0.999496 0.574143
RUNX1 -> IRF8 0.127654 0.625833 0.221497
SP3 -> IRF8 0.128351 0.548426 0.195160
TRIM28 -> IRF8 0.154062 0.781282 0.333714
BCL6 -> JUN 0.167498 0.991991 0.460672
JUN -> JUN 0.188848 0.993134 0.519988
KLF10 -> JUN 0.118558 0.598596 0.196760
LMO2 -> JUN 0.126852 0.728461 0.256198
MAFB -> JUN 0.152307 0.952052 0.402024
EGR2 -> KLF10 0.163628 0.982368 0.445662
KLF10 -> KLF10 0.360684 1.000000 1.000000
LMO2 -> KLF10 0.171790 0.978452 0.466027
MAFB -> KLF10 0.127013 0.677992 0.238750
MYEF2 -> KLF10 0.143818 0.675729 0.269438
NFYA -> KLF10 0.117434 0.509801 0.165984
RREB1 -> KLF10 0.148772 0.828372 0.341681
RUNX1 -> KLF10 0.147230 0.802871 0.327729
BCL6 -> KLF13 0.114229 0.628163 0.198940
KLF10 -> KLF13 0.184974 0.997097 0.511355
KLF13 -> KLF13 0.181862 0.984220 0.496257
LMO2 -> KLF13 0.134517 0.819082 0.305477
NFYC -> KLF13 0.153956 0.903326 0.385581
TCFL5 -> KLF13 0.138727 0.592613 0.227932
BCL6 -> LMO2 0.229128 0.999982 0.635248
ELK1 -> LMO2 0.182570 0.862544 0.436601
KLF10 -> LMO2 0.182754 0.973690 0.493356
NFYA -> LMO2 0.195516 0.988064 0.535599
NFYC -> LMO2 0.222076 0.997875 0.614400
RUNX1 -> LMO2 0.129081 0.540103 0.193291
SMAD4 -> LMO2 0.147505 0.575700 0.235437
SP3 -> LMO2 0.148014 0.646375 0.265253
BCL6 -> MAFB 0.211558 0.999044 0.585986
EGR2 -> MAFB 0.285640 1.000000 0.791940
FOS -> MAFB 0.231679 0.998697 0.641496
LMO2 -> MAFB 0.133281 0.614752 0.227165
MAFB -> MAFB 0.269186 1.000000 0.746320
NFE2L1 -> MAFB 0.145459 0.570305 0.229997
CEBPD -> MYB 0.122257 0.614392 0.208254
KLF10 -> MYB 0.108106 0.617054 0.184946
RREB1 -> MYB 0.108612 0.600036 0.180687
SP3 -> MYB 0.172080 0.989450 0.472059
NFYA -> MYEF2 0.126790 0.718036 0.252409
SMAD4 -> MYEF2 0.137670 0.647405 0.247109
EGR2 -> NFATC1 0.102958 0.666130 0.190147
MAFB -> NFATC1 0.114322 0.841046 0.266576
STAT1 -> NFATC1 0.104896 0.527557 0.153427
NFYA -> NFATC2 0.130042 0.798404 0.287859
RUNX1 -> NFATC2 0.127444 0.740634 0.261696
TCFL5 -> NFATC2 0.160271 0.851330 0.378291
KLF10 -> NFE2L1 0.143110 0.921208 0.365511
LMO2 -> NFE2L1 0.110845 0.601307 0.184792
NFYC -> NFE2L1 0.127132 0.727678 0.256489
TRIM28 -> NFE2L1 0.132204 0.688845 0.252487
BCL6 -> NFYA 0.142095 0.857002 0.337625
KLF10 -> NFYA 0.197578 0.996855 0.546064
NFYA -> NFYA 0.170999 0.952163 0.451418
NFYC -> NFYA 0.169430 0.925278 0.434645
PRDM1 -| NFYA -0.139752 0.605702 -0.234687
RREB1 -> NFYA 0.173503 0.952916 0.458389
RUNX1 -> NFYA 0.206519 0.996730 0.570703
BCL6 -> NFYC 0.183164 0.999510 0.507574
FOS -> NFYC 0.125638 0.613945 0.213858
KLF10 -> NFYC 0.178354 0.994732 0.491884
LMO2 -> NFYC 0.148106 0.919636 0.377626
NFYC -> NFYC 0.114777 0.520738 0.165710
RUNX1 -> NFYC 0.137307 0.785006 0.298840
RXRB -> NFYC 0.130015 0.614148 0.221380
SMAD4 -> NFYC 0.145162 0.713519 0.287165
SP3 -> NFYC 0.138899 0.717958 0.276484
TCFL5 -> NFYC 0.159888 0.806705 0.357606
BCL6 -> PPARD 0.149686 0.975216 0.404720
EGR2 -> PPARD 0.134501 0.919190 0.342770
KLF10 -> PPARD 0.115144 0.621655 0.198456
MAFB -> PPARD 0.142224 0.934689 0.368564
NFYA -> PPARD 0.156517 0.973156 0.422296
PPARG -> PPARD 0.108371 0.557646 0.167550
RREB1 -> PPARD 0.112672 0.589466 0.184140
SPI1 -> PPARD 0.114085 0.628461 0.198784
TCFL5 -> PPARD 0.137638 0.663080 0.253033
BCL6 -> PPARG 0.264273 0.999999 0.732700
EGR2 -> PPARG 0.139024 0.666626 0.256948
LMO2 -> PPARG 0.184082 0.961333 0.490634
MAFB -> PPARG 0.231951 0.999796 0.642956
NFYA -> PPARG 0.166188 0.856528 0.394653
NFYC -> PPARG 0.152769 0.696013 0.294800
PRDM1 -> PPARG 0.147674 0.564130 0.230971
SMAD4 -> PPARG 0.160838 0.636587 0.283870
SNAI3 -> PPARG 0.155481 0.711253 0.306601
BCL6 -> PRDM1 0.170488 0.998056 0.471760
EGR2 -> PRDM1 0.140462 0.956154 0.372357
MAFB -> PRDM1 0.116341 0.664036 0.214189
PPARG -> PRDM1 0.125540 0.782274 0.272280
SP3 -> PRDM1 0.118985 0.565507 0.186553
TRIM28 -| PRDM1 -0.117024 0.516894 -0.167706
EGR2 -> RREB1 0.129361 0.669421 0.240092
FLI1 -> RREB1 0.135859 0.510309 0.192218
KLF10 -> RREB1 0.186749 0.982271 0.508583
LMO2 -> RREB1 0.149008 0.813047 0.335892
NFYA -> RREB1 0.174088 0.944448 0.455849
RREB1 -> RREB1 0.157593 0.838799 0.366496
RUNX1 -> RREB1 0.231062 0.999478 0.640288
TCFL5 -> RREB1 0.154712 0.612002 0.262512
BCL6 -> RUNX1 0.124953 0.715526 0.247882
CEBPD -> RUNX1 0.222936 0.997535 0.616569
KLF10 -> RUNX1 0.227734 0.999985 0.631385
KLF13 -> RUNX1 0.132326 0.621672 0.228076
LMO2 -> RUNX1 0.126046 0.667919 0.233413
NFYA -> RUNX1 0.163742 0.949739 0.431158
PRDM1 -| RUNX1 -0.126646 0.520242 -0.182671
RUNX1 -> RUNX1 0.180414 0.981341 0.490867
SPI1 -> RUNX1 0.129413 0.688908 0.247180
TRIM28 -> RUNX1 0.216661 0.997260 0.599050
EGR2 -> RXRB 0.111789 0.662968 0.205478
ETS1 -> RXRB 0.135639 0.606796 0.228192
HOXA13 -> RXRB 0.144354 0.805863 0.322524
KLF10 -> RXRB 0.109218 0.545379 0.165146
KLF13 -> RXRB 0.117480 0.569425 0.185470
NFYA -> RXRB 0.132807 0.846627 0.311734
NFYC -> RXRB 0.133993 0.810569 0.301124
SPI1 -> SMAD3 0.131385 0.877766 0.319741
TRIM28 -> SMAD3 0.129197 0.703820 0.252107
LMO2 -> SMAD4 0.095562 0.538260 0.142610
RUNX1 -> SMAD4 0.104414 0.610932 0.176859
SPI1 -> SMAD4 0.108550 0.710205 0.213740
EGR2 -> SNAI1 0.166826 0.999119 0.462119
BCL6 -> SNAI3 0.141348 0.821558 0.321959
