Parent - Child Weight Probability Score
BCL6 -> BCL6 0.265891 1.000000 0.664972
CBFB -> BCL6 0.130415 0.576556 0.188048
EGR2 -> BCL6 0.283138 1.000000 0.708106
ELK1 -| BCL6 -0.128638 0.524419 -0.168712
ETS1 -> BCL6 0.163319 0.772316 0.315450
JUN -> BCL6 0.155455 0.890107 0.346056
KLF10 -| BCL6 -0.105321 0.508366 -0.133903
MAFB -> BCL6 0.187544 0.999006 0.468567
NFYC -> BCL6 0.178809 0.987301 0.441509
PPARD -> BCL6 0.159503 0.921174 0.367461
PPARG -> BCL6 0.178645 0.996770 0.445334
PRDM1 -> BCL6 0.156068 0.865860 0.337957
RXRB -> BCL6 0.125420 0.605936 0.190062
SP3 -| BCL6 -0.134250 0.696367 -0.233805
TFPT -> BCL6 0.198007 0.958951 0.474871
TRIM28 -| BCL6 -0.146335 0.791320 -0.289600
CBFB -| CBFB -0.093312 0.719271 -0.167853
CEBPD -> CBFB 0.074519 0.530096 0.098792
EGR2 -> CBFB 0.107712 0.999318 0.269195
ETS1 -| CBFB -0.090063 0.636697 -0.143410
FOS -| CBFB -0.071546 0.546502 -0.097786
JUN -| CBFB -0.076288 0.595172 -0.113553
KLF10 -> CBFB 0.074021 0.689199 0.127584
NFYC -> CBFB 0.093088 0.908552 0.211516
PPARG -> CBFB 0.086773 0.924512 0.200630
RREB1 -> CBFB 0.075251 0.684859 0.128888
RUNX1 -> CBFB 0.121846 0.997816 0.304061
RXRB -> CBFB 0.072819 0.527138 0.096000
SP3 -> CBFB 0.095393 0.848280 0.202375
SPI1 -> CBFB 0.084353 0.863670 0.182200
STAT1 -> CBFB 0.069701 0.506582 0.088305
TCF3 -> CBFB 0.087533 0.728945 0.159576
BCL6 -> CEBPB 0.100226 0.897821 0.225046
CBFB -| CEBPB -0.159073 0.971963 -0.386675
CEBPB -> CEBPB 0.118412 0.839546 0.248622
FLI1 -> CEBPB 0.149952 0.976322 0.366138
KLF10 -> CEBPB 0.133478 0.995291 0.332246
KLF13 -> CEBPB 0.094916 0.635294 0.150805
LMO2 -> CEBPB 0.100601 0.829517 0.208702
NFYC -> CEBPB 0.141244 0.991154 0.350116
PPARG -> CEBPB 0.084315 0.619194 0.130566
RUNX1 -| CEBPB -0.103475 0.791048 -0.204710
SMAD4 -> CEBPB 0.131768 0.875668 0.288568
EGR2 -> CEBPD 0.082026 0.728319 0.149408
FLI1 -> CEBPD 0.090765 0.616725 0.139994
FOS -| CEBPD -0.097890 0.764047 -0.187050
HOXA10 -> CEBPD 0.091517 0.592338 0.135573
KLF10 -> CEBPD 0.079237 0.592729 0.117459
LMO2 -> CEBPD 0.076934 0.596543 0.114778
MAFB -> CEBPD 0.127450 0.999322 0.318527
NFYA -> CEBPD 0.079131 0.608080 0.120339
NFYC -> CEBPD 0.132170 0.992551 0.328084
RREB1 -> CEBPD 0.107927 0.928456 0.250607
RUNX1 -> CEBPD 0.078708 0.588444 0.115831
SMAD4 -> CEBPD 0.103390 0.716307 0.185216
SP3 -> CEBPD 0.088456 0.621499 0.137489
SPI1 -> CEBPD 0.092853 0.821747 0.190824
TFPT -| CEBPD -0.096545 0.589727 -0.142390
TRIM28 -> CEBPD 0.124577 0.947581 0.295226
BCL6 -> EGR2 0.218376 0.999963 0.546121
EGR2 -> EGR2 0.381038 1.000000 0.952947
FOS -> EGR2 0.182073 0.967518 0.440559
KLF10 -> EGR2 0.223474 0.999932 0.558852
LMO2 -> EGR2 0.136136 0.805131 0.274118
MAFB -> EGR2 0.248281 1.000000 0.620930
RUNX1 -> EGR2 0.157321 0.903350 0.355421
SP3 -| EGR2 -0.157128 0.792902 -0.311582
TRIM28 -| EGR2 -0.132151 0.617262 -0.204004
FOS -| ELK1 -0.078543 0.539372 -0.105949
MYEF2 -> ELK1 0.098507 0.762226 0.187781
NFYC -> ELK1 0.077183 0.607650 0.117294
TCF3 -> ELK1 0.121563 0.951550 0.289289
BCL6 -> ETS1 0.073052 0.837243 0.152962
KLF13 -> ETS1 0.090164 0.888052 0.200250
MAFB -> ETS1 0.070980 0.759631 0.134846
PPARG -> ETS1 0.099125 0.995027 0.246670
RREB1 -> ETS1 0.063125 0.564141 0.089062
RXRB -> ETS1 0.095032 0.899323 0.213741
SNAI1 -> ETS1 0.099677 0.936608 0.233481
SP3 -| ETS1 -0.092449 0.864514 -0.199883
TCFL5 -> ETS1 0.082845 0.615250 0.127473
BCL6 -> FLI1 0.096460 0.948218 0.228748
FLI1 -> FLI1 0.139586 0.988540 0.345092
FOS -| FLI1 -0.092188 0.751206 -0.173194
KLF10 -> FLI1 0.147560 0.999991 0.369032
KLF13 -> FLI1 0.076172 0.529431 0.100857
LMO2 -> FLI1 0.085385 0.791391 0.168994
PPARG -> FLI1 0.139865 0.999978 0.349784
RREB1 -> FLI1 0.079921 0.660448 0.132008
RUNX1 -> FLI1 0.101119 0.920241 0.232719
SMAD4 -> FLI1 0.126025 0.936477 0.295157
SP3 -> FLI1 0.099217 0.800924 0.198737
SPI1 -> FLI1 0.068144 0.503807 0.085860
TCF3 -| FLI1 -0.078998 0.503174 -0.099411
