Parent - Child Weight Probability Score
G3 -> G1 0.189675 0.975277 0.540553
G6 -> G1 0.193172 0.938332 0.529664
G14 -| G1 -0.191899 0.945483 -0.530185
G21 -> G1 0.165578 0.899186 0.435063
G23 -> G1 0.218021 0.995688 0.634337
G29 -> G1 0.163983 0.904951 0.433633
G32 -> G1 0.149741 0.741658 0.324522
G33 -> G1 0.122836 0.543072 0.194932
G34 -> G1 0.132541 0.544486 0.210881
G47 -> G1 0.135384 0.731661 0.289452
G48 -> G1 0.151654 0.671910 0.297760
G52 -| G1 -0.133813 0.649254 -0.253872
G54 -> G1 0.169699 0.932647 0.462484
G59 -> G1 0.142377 0.681534 0.283549
G62 -| G1 -0.149275 0.674536 -0.294233
G64 -| G1 -0.143370 0.628978 -0.263509
G66 -| G1 -0.120694 0.579557 -0.204400
G68 -| G1 -0.195976 0.987111 -0.565288
G73 -> G1 0.189687 0.982419 0.544546
G85 -> G1 0.137178 0.586042 0.234916
G92 -> G1 0.139321 0.762955 0.310609
G94 -| G1 -0.152775 0.632147 -0.282208
G95 -| G1 -0.161813 0.751619 -0.355395
G97 -> G1 0.188649 0.975329 0.537656
G4 -> G2 0.203482 0.947191 0.563203
G6 -| G2 -0.232189 0.981159 -0.665705
G8 -> G2 0.165097 0.725978 0.350237
G10 -> G2 0.167857 0.815115 0.399813
G12 -> G2 0.181917 0.888203 0.472156
G13 -| G2 -0.233922 0.989472 -0.676356
G15 -| G2 -0.160554 0.719601 -0.337609
G16 -| G2 -0.196402 0.867605 -0.497930
G26 -> G2 0.145509 0.600504 0.255331
G33 -> G2 0.219277 0.978822 0.627187
G35 -| G2 -0.164538 0.617545 -0.296917
G47 -| G2 -0.273946 0.999641 -0.800221
G50 -> G2 0.171232 0.788788 0.394680
G64 -| G2 -0.142946 0.539160 -0.225211
G79 -> G2 0.198279 0.952621 0.551946
G82 -> G2 0.145286 0.506631 0.215087
G88 -| G2 -0.132891 0.549537 -0.213399
G91 -> G2 0.219310 0.987155 0.632621
G94 -| G2 -0.173851 0.673048 -0.341920
G98 -> G2 0.143355 0.561676 0.235287
G100 -> G2 0.148185 0.644526 0.279090
G3 -> G3 0.153257 0.834836 0.373871
G7 -| G3 -0.131620 0.510202 -0.196230
G20 -> G3 0.123740 0.513693 0.185743
G21 -> G3 0.254929 0.999624 0.744655
G22 -| G3 -0.191442 0.959794 -0.536926
G23 -> G3 0.141400 0.741255 0.306279
G24 -> G3 0.169640 0.903756 0.448001
G27 -> G3 0.174551 0.837748 0.427303
G33 -> G3 0.131946 0.599610 0.231188
G39 -> G3 0.179938 0.931370 0.489715
G47 -> G3 0.148235 0.802161 0.347466
