Parent - Child Weight Probability Score
G1 -> G1 0.144052 0.962912 0.493465
G4 -| G1 -0.192846 0.997872 -0.684601
G5 -| G1 -0.087317 0.653873 -0.203116
G6 -| G1 -0.060985 0.542958 -0.117799
G7 -| G1 -0.185769 0.994499 -0.657248
G8 -| G1 -0.101977 0.652236 -0.236624
G11 -> G1 0.064756 0.560255 0.129067
G12 -> G1 0.165707 0.998465 0.588606
G14 -| G1 -0.077050 0.530223 -0.145340
G15 -> G1 0.091492 0.763706 0.248577
G17 -> G1 0.086377 0.552837 0.169882
G18 -> G1 0.132444 0.977745 0.460689
G19 -| G1 -0.074899 0.577808 -0.153960
G21 -| G1 -0.184567 0.996110 -0.654053
G26 -> G1 0.088326 0.578103 0.181655
G31 -| G1 -0.141836 0.925274 -0.466884
G32 -> G1 0.060765 0.541913 0.117147
G37 -> G1 0.159589 0.989201 0.561613
G38 -> G1 0.120849 0.964249 0.414556
G39 -> G1 0.100108 0.770482 0.274398
G42 -> G1 0.083549 0.720958 0.214290
G46 -| G1 -0.140118 0.939306 -0.468222
G47 -| G1 -0.077199 0.627896 -0.172445
G49 -> G1 0.056056 0.543309 0.108348
G50 -| G1 -0.108858 0.810581 -0.313913
G56 -| G1 -0.126345 0.871047 -0.391519
G58 -> G1 0.081405 0.519057 0.150320
G60 -> G1 0.083368 0.559351 0.165896
G61 -> G1 0.094366 0.702727 0.235914
G69 -| G1 -0.067907 0.520996 -0.125863
G70 -| G1 -0.161908 0.979774 -0.564345
G72 -> G1 0.099951 0.742645 0.264070
G78 -> G1 0.109611 0.792500 0.309033
G79 -| G1 -0.085550 0.617720 -0.188002
G81 -> G1 0.102174 0.686653 0.249590
G85 -> G1 0.090839 0.821803 0.265577
G86 -> G1 0.057901 0.525700 0.108286
G90 -| G1 -0.171621 0.983711 -0.600606
G91 -> G1 0.116259 0.958886 0.396591
G96 -| G1 -0.115095 0.937997 -0.384068
G97 -> G1 0.197002 0.999898 0.700774
G2 -| G2 -0.086779 0.779971 -0.240793
G3 -> G2 0.073804 0.690857 0.181393
G4 -> G2 0.131625 0.998516 0.467566
G6 -> G2 0.078797 0.915962 0.256767
G9 -> G2 0.050702 0.607347 0.109550
G12 -| G2 -0.042384 0.570665 -0.086047
G13 -| G2 -0.060903 0.676993 -0.146681
G16 -> G2 0.037685 0.512641 0.068728
G17 -> G2 0.053920 0.519954 0.099739
G21 -> G2 0.105468 0.964137 0.361752
G22 -| G2 -0.059974 0.690890 -0.147407
G23 -> G2 0.059772 0.644499 0.137047
G27 -> G2 0.100923 0.942294 0.338319
G28 -> G2 0.118488 0.973360 0.410298
G32 -> G2 0.051337 0.676035 0.123468
G34 -> G2 0.048421 0.602454 0.103779
G35 -> G2 0.056977 0.766595 0.155388
G37 -| G2 -0.040189 0.507952 -0.072624
G39 -| G2 -0.052642 0.587732 -0.110068
G41 -> G2 0.048238 0.534090 0.091655
G42 -| G2 -0.081767 0.925352 -0.269176
G46 -> G2 0.111450 0.984544 0.390363
G47 -> G2 0.065774 0.759058 0.177615
G49 -> G2 0.042063 0.585558 0.087625
G50 -> G2 0.068829 0.761822 0.186543
G51 -| G2 -0.063556 0.845165 -0.191094
G53 -> G2 0.057148 0.552683 0.112365
G55 -> G2 0.135313 0.997738 0.480295
G56 -| G2 -0.076507 0.785790 -0.213873
G64 -| G2 -0.052727 0.665999 -0.124928
G66 -| G2 -0.055216 0.721925 -0.141811
G71 -> G2 0.063413 0.690371 0.155744
G78 -| G2 -0.120098 0.981145 -0.419200
G80 -| G2 -0.069291 0.893719 -0.220307
G82 -| G2 -0.065823 0.745514 -0.174575
