SourceGENES,TargetGENES,Interaction,Edges
G97,G99,1.32729005286812,repression
G97,G31,1,activation
G25,G33,0.963727148833897,repression
G58,G18,0.881438785699062,activation
G78,G99,0.869843275056513,activation
G57,G18,0.866976106601256,activation
G57,G81,0.855890822440127,repression
G44,G65,0.85322115423826,repression
G44,G14,0.776883211681925,repression
G57,G33,0.772639552276831,activation
G97,G40,0.744835482420217,repression
G10,G14,0.737886431256898,activation
G77,G33,0.732506503729976,repression
G27,G40,0.731444795582246,activation
G28,G54,0.729982918322534,repression
G97,G30,0.726539347886665,activation
G57,G75,0.706866447903856,activation
G29,G68,0.700538207869815,activation
G35,G8,0.699321104413943,activation
G97,G52,0.692525695616191,activation
G57,G62,0.686933714224284,activation
G19,G33,0.682751052768072,repression
G57,G79,0.674055565647876,repression
G38,G90,0.669602551710248,repression
G18,G42,0.665846692001307,repression
G77,G2,0.663532603700401,activation
G96,G18,0.659471568848444,activation
G25,G98,0.656845791385015,activation
G97,G32,0.656257706859151,activation
G63,G89,0.653863140739804,repression
G17,G62,0.652560011765437,activation
G25,G48,0.649860125047712,activation
G28,G33,0.647526624172959,activation
G63,G54,0.646117251639192,activation
G27,G8,0.644697914258855,repression
G78,G42,0.642557599560449,repression
G91,G60,0.638038053106166,repression
G74,G40,0.633216492284697,activation
G27,G36,0.626294836159805,activation
G57,G90,0.614184382524082,activation
G94,G33,0.610813126963958,activation
G97,G3,0.607188496646852,activation
G18,G34,0.598718351483539,activation
G49,G33,0.596014347720495,repression
G38,G81,0.593272911954117,repression
G25,G13,0.583337074700724,activation
G10,G23,0.582511821448302,activation
G23,G56,0.57947210505083,repression
G38,G84,0.57515318649029,activation
G25,G54,0.574561803550462,repression
G38,G79,0.569497406654176,activation
G26,G14,0.567668108798493,repression
G58,G81,0.567398238759728,repression
G77,G60,0.564812001802339,activation
G58,G8,0.557456738588337,repression
G98,G33,0.556448677009262,activation
G57,G84,0.55605496590823,repression
G44,G90,0.556053323542959,activation
G53,G3,0.55166386310926,activation
G19,G13,0.55162556551282,activation
G52,G99,0.546998856731446,activation
G25,G60,0.544856641274273,repression
G38,G22,0.543912515266228,activation
G38,G33,0.543637772993827,activation
G26,G34,0.543061465527415,repression
G82,G52,0.542460512242375,activation
G89,G89,0.538199059305498,activation
G52,G88,0.53783602930715,activation
G94,G60,0.537273703352431,repression
G76,G14,0.535647246583648,repression
G87,G76,0.534330693085043,repression
G86,G68,0.531728341539,activation
G38,G18,0.531455170220211,activation
G57,G22,0.531399120995534,repression
G25,G23,0.53056577701617,repression
G29,G86,0.529958003193633,repression
G46,G42,0.529926342434361,repression
G96,G65,0.525879309178844,repression
G97,G88,0.524557157321725,activation
G30,G11,0.524433228827952,repression
G71,G14,0.524408119943185,repression
G82,G16,0.524265814820275,activation
G91,G3,0.523421185912103,repression
G96,G99,0.520096189001818,repression
G23,G49,0.518452331497991,activation
G97,G96,0.516588112650625,repression
G10,G71,0.516187892182483,activation
G25,G49,0.516082001639508,activation
G96,G42,0.515028630081051,repression
G44,G7,0.514752679432234,activation
G35,G22,0.51231726299631,repression
G58,G16,0.511895787927266,activation
G63,G82,0.510695588096575,activation
G53,G54,0.509790905202615,repression
G82,G33,0.508984269647392,activation
G52,G42,0.506449480106571,repression
G52,G32,0.505221691763123,activation
G26,G65,0.503847629970808,repression
G84,G79,0.502885165885037,repression
G19,G81,0.502626629320942,activation
G26,G68,0.50225931269353,repression
G10,G16,0.500679165846825,repression
G44,G20,0.498740145050877,activation
G58,G2,0.49742874085597,repression
G52,G66,0.497091956100322,activation
G35,G10,0.494119726307251,activation
