SourceGENES,TargetGENES,Interaction,Edges
G72,G47,1.41735156314723,repression
G92,G80,1.06699765956257,repression
G33,G87,1,activation
G77,G6,0.962321632836882,activation
G23,G30,0.955333215165768,repression
G72,G6,0.953695794894336,activation
G46,G88,0.927650842250106,repression
G33,G81,0.925035537168141,repression
G16,G65,0.900736963365545,repression
G72,G12,0.891140332827453,activation
G23,G65,0.8793795337871,repression
G69,G97,0.869585334565616,activation
G23,G59,0.863515310013457,activation
G16,G7,0.862126245259811,activation
G57,G7,0.852964020235376,repression
G16,G88,0.840458058679818,repression
G33,G95,0.829859745256248,repression
G76,G88,0.825717494329268,repression
G3,G75,0.823840904618731,repression
G69,G56,0.811968187034086,repression
G72,G97,0.809329148520007,activation
G13,G2,0.807024501855382,repression
G57,G42,0.797288879873577,activation
G16,G15,0.797133379950151,activation
G29,G12,0.796521268427165,activation
G4,G65,0.791713759829374,activation
G78,G80,0.791320234684586,activation
G61,G21,0.78985673665198,repression
G63,G59,0.783729972367362,activation
G4,G94,0.783491790316688,repression
G27,G88,0.780706955759968,repression
G56,G12,0.78058603518091,activation
G23,G94,0.77954388640325,repression
G99,G79,0.769837329741099,repression
G3,G84,0.767998949027476,activation
G16,G94,0.76445687002242,repression
G8,G54,0.758688111591268,repression
G78,G19,0.748432281170994,repression
G56,G57,0.743935172516432,repression
G13,G50,0.72919665523046,activation
G38,G3,0.726645742082197,repression
G77,G53,0.725519561825281,repression
G89,G79,0.722257385528813,repression
G76,G9,0.722238937245589,repression
G72,G14,0.702565250804637,activation
G27,G9,0.697722689176014,activation
G72,G21,0.695355056481053,repression
G72,G56,0.695346444211432,activation
G24,G94,0.694182707540794,activation
G44,G96,0.692501681177174,activation
G57,G13,0.691293059372763,activation
G27,G94,0.688331381595477,activation
G4,G15,0.684780224169416,activation
G1,G9,0.682096794683315,repression
G79,G100,0.679929438729483,activation
G27,G93,0.679788036553149,activation
G8,G19,0.677447973308034,activation
G89,G100,0.67011847152884,repression
G63,G74,0.664859902479721,activation
G56,G47,0.662662339044203,activation
G92,G50,0.662125999667413,repression
G11,G100,0.660922455279729,activation
G38,G87,0.659728150592357,repression
G15,G44,0.655749708076062,repression
G69,G6,0.65235259414347,repression
G44,G28,0.645541118867813,repression
G72,G49,0.645011532144931,repression
G1,G47,0.644463820470054,repression
G71,G88,0.64427535617449,repression
G61,G47,0.643968946421455,activation
G63,G54,0.64266367217248,repression
G31,G11,0.640130305259815,activation
G16,G85,0.637448231088194,activation
G4,G42,0.635271576804669,repression
G63,G34,0.631550835366432,activation
G57,G85,0.629614792079432,repression
G72,G37,0.628365648517139,repression
G100,G15,0.627286467735376,repression
G16,G27,0.624241974184069,activation
G89,G17,0.62422775492886,activation
G89,G78,0.623502715186602,repression
G31,G79,0.622763762297422,repression
G77,G38,0.621741150420499,repression
G1,G54,0.61408452814773,activation
G16,G24,0.612999445296908,activation
G31,G44,0.609006321340044,activation
G31,G13,0.603289460807708,repression
G56,G81,0.603048914705891,activation
G71,G47,0.60225310585414,repression
G24,G28,0.601022680930398,repression
G33,G12,0.597389252441923,repression
G77,G3,0.59546148746772,activation
G23,G26,0.593693975894667,repression
G74,G6,0.591700527532135,repression
G76,G38,0.59045118591658,repression
G16,G53,0.59008526963346,repression
G99,G53,0.588040721865566,repression
G77,G79,0.585478872654317,activation
G3,G97,0.585432379895417,activation
G15,G53,0.58460694168876,repression
G31,G2,0.582468141557115,activation
G8,G20,0.57934238572708,repression
G24,G65,0.578655975651889,activation
G46,G85,0.577295176959441,activation
G15,G59,0.576783689964057,activation
G89,G28,0.575959459005734,activation
G63,G14,0.575749343136916,activation
G16,G74,0.572197643562696,repression
G74,G47,0.570606446193249,repression
G4,G9,0.568882259302324,activation
G4,G85,0.568177185431941,activation
G92,G100,0.567109729466005,repression
G72,G84,0.565121545984185,activation
G46,G9,0.565095274723525,activation
G63,G15,0.564482300730299,repression
G63,G6,0.560917992809896,activation
G33,G98,0.559394445898077,activation
G4,G5,0.559179087906313,activation
G78,G83,0.558663924294668,repression
G89,G96,0.557495498415738,activation
G33,G20,0.549261534382813,activation
G33,G11,0.547624882693615,repression
G15,G34,0.547421907426804,activation
G11,G28,0.547030069432627,activation
G77,G63,0.546331004569141,activation
G100,G7,0.54616012434883,repression
G4,G10,0.545939598113905,activation
G3,G6,0.545864210162334,repression
G77,G74,0.545069718422064,activation
G31,G20,0.544905774146885,repression
G63,G69,0.544318345987045,repression
G34,G87,0.543258841198113,activation
G69,G8,0.543107726852416,activation
G1,G40,0.543076151384153,activation
G72,G48,0.541930567278775,repression
G89,G88,0.539441436214095,repression
G57,G28,0.538542977284252,activation
G99,G24,0.537839457718465,activation
G56,G7,0.537554553505366,repression
G69,G12,0.537416896226661,activation
G89,G50,0.537156526342196,repression
G16,G99,0.53661490633092,repression
G16,G5,0.535249961365571,repression
G24,G79,0.532497503268033,repression
G78,G2,0.529464487542938,repression
G16,G2,0.52938596165243,activation
G8,G7,0.528918309190977,repression
G77,G76,0.527715146336323,repression
G77,G88,0.527270313272022,activation
G69,G47,0.527166039117395,repression
G46,G30,0.527092294615066,activation
G79,G85,0.526254853489084,activation
G79,G28,0.526215184078791,activation
G72,G71,0.526086615548604,activation
G34,G59,0.525892345119015,repression
G89,G99,0.525505680295156,activation
G23,G87,0.52503453682008,repression
G92,G19,0.523827443630939,repression
G16,G79,0.523755984432257,repression
G8,G31,0.523195402152988,repression
G1,G88,0.522638643563859,activation
G15,G20,0.522437346011796,repression
G16,G42,0.521388991128389,activation
G76,G74,0.521293347903969,repression
G78,G94,0.520384131116816,activation
G56,G49,0.519342328066167,repression
G53,G94,0.517392261755714,activation
G36,G62,0.517272445074646,activation
G100,G31,0.516461382037617,repression
G89,G9,0.514987482276088,repression
G24,G100,0.514851668563064,activation
G56,G64,0.513824462064362,activation
G27,G10,0.513218926948203,repression
G31,G59,0.51127791769132,repression
G8,G59,0.51119562740504,repression
G23,G10,0.508722481078559,activation
