SourceGENES	TargetGENES	Edges	Interaction
BCL6	FOS	1	1
BCL6	ETS1	1	0.99469167
KLF10	FOS	1	0.819995241
KLF10	ETS1	-1	0.796981299
PPARG	FOS	1	0.758335842
BCL6	JUN	1	0.750782101
PRDM1	FOS	-1	0.734379301
BCL6	ELK1	-1	0.732464729
BCL6	NFATC1	-1	0.709859028
PRDM1	ETS1	1	0.678615824
MAFB	FOS	1	0.673833201
PPARG	JUN	-1	0.669363247
BCL6	BCL6	1	0.664258104
KLF10	JUN	1	0.659846101
MAFB	ETS1	1	0.65975426
PRDM1	JUN	1	0.641169644
PPARG	ETS1	1	0.62962388
FOSB	FOS	1	0.591026372
KLF10	NFATC1	-1	0.587386499
KLF10	ELK1	-1	0.586074239
PPARD	FOS	1	0.577545835
BCL6	SNAI3	1	0.576435589
PPARD	ETS1	1	0.575547908
BCL6	PPARG	1	0.551704825
FOSB	ETS1	1	0.536491596
PRDM1	NFATC1	1	0.527405681
MAFB	JUN	1	0.522068936
PRDM1	ELK1	1	0.51838557
KLF10	BCL6	-1	0.513693977
PPARG	ELK1	1	0.511000431
BCL6	SPIB	-1	0.486869964
MAFB	ELK1	-1	0.484167877
SPI1	FOS	1	0.479404128
PPARG	NFATC1	-1	0.479098717
MAFB	NFATC1	1	0.475961891
KLF10	SNAI3	1	0.473351523
BCL6	NFE2L1	-1	0.469586154
BCL6	MYEF2	-1	0.463617114
FOSB	JUN	1	0.462929889
PPARD	JUN	1	0.448216138
BCL6	TFPT	1	0.440504911
SPI1	ETS1	-1	0.437517239
PPARG	SNAI3	1	0.436154564
PRDM1	SNAI3	-1	0.431353042
MAFB	BCL6	1	0.426478791
BCL6	CEBPB	-1	0.42387094
FOSB	ELK1	1	0.423319977
KLF10	PPARG	1	0.422959479
PPARD	ELK1	1	0.422337125
BCL6	VDR	1	0.421808854
PPARD	NFATC1	1	0.419839655
BCL6	PRDM1	1	0.415836612
SPI1	JUN	-1	0.404050446
MAFB	SNAI3	-1	0.388422879
PPARD	BCL6	1	0.384089107
FOSB	NFATC1	1	0.38360318
KLF10	SPIB	1	0.382005797
PRDM1	BCL6	1	0.378417618
KLF10	NFE2L1	-1	0.375172661
EGR2	ETS1	-1	0.371223202
EGR2	FOS	1	0.370086662
BCL6	SP3	-1	0.369214703
KLF10	MYEF2	1	0.367844784
VDR	FOS	1	0.365968734
BCL6	PPARD	1	0.364827203
BCL6	SMAD3	-1	0.364319652
VDR	ETS1	1	0.36214129
KLF10	TFPT	1	0.361838958
BCL6	SNAI1	-1	0.357156469
MAFB	PPARG	1	0.355293372
BCL6	KLF13	-1	0.352252083
KLF10	CEBPB	-1	0.347439217
BCL6	FOSB	-1	0.347030529
BCL6	MAFB	1	0.345936111
PPARG	NFE2L1	1	0.343284016
SPIB	FOS	-1	0.343103086
FOSB	SNAI3	-1	0.338324267
BCL6	NFYA	-1	0.337228716
PRDM1	NFE2L1	1	0.335253595
PPARD	SNAI3	1	0.334976839
KLF10	VDR	-1	0.333511388
SPI1	ELK1	-1	0.333076967
PRDM1	TFPT	-1	0.330157484
SPIB	ETS1	1	0.329472476
PRDM1	PPARG	-1	0.329269433
SPI1	NFATC1	-1	0.328259253
PPARG	TFPT	1	0.327952767
PRDM1	SPIB	-1	0.327088743
PPARG	CEBPB	1	0.325518877
KLF10	PRDM1	1	0.324914061
PRDM1	MYEF2	-1	0.320530123
MAFB	SPIB	-1	0.316941622
PPARG	MYEF2	-1	0.316157515
PPARG	SPIB	-1	0.315657648
PRDM1	CEBPB	1	0.313529722
PPARD	PPARG	-1	0.313430096
BCL6	CBFB	1	0.312053256
MAFB	NFE2L1	-1	0.311115492
BCL6	RREB1	-1	0.308903861
BCL6	UHRF1	-1	0.308164512
BCL6	SPI1	1	0.305109153
MAFB	MYEF2	-1	0.305004054
KLF10	SP3	1	0.303333093
FOSB	BCL6	-1	0.296386491
MAFB	TFPT	1	0.295938432
KLF10	SMAD3	1	0.293570963
PPARG	SP3	1	0.293551501
PPARG	PPARG	1	0.292620189
EGR2	JUN	1	0.29042693
KLF10	SNAI1	1	0.287849826
KLF10	PPARD	-1	0.286615106
MAFB	CEBPB	1	0.285357379
PRDM1	VDR	-1	0.28487934
VDR	JUN	-1	0.284353352
FOSB	PPARG	-1	0.283207828
KLF10	KLF13	1	0.281734735
BCL6	RXRB	1	0.281610125
BCL6	SMAD4	-1	0.279448796
PPARD	SPIB	-1	0.2790032
PRDM1	SP3	-1	0.278545645
FOSB	NFE2L1	-1	0.278245868
BCL6	FLI1	1	0.277801509
SPI1	SNAI3	1	0.276965755
MAFB	VDR	1	0.276824282
BCL6	TCFL5	1	0.27574895
FOSB	SPIB	-1	0.274927628
EGR2	NFATC1	1	0.272277945
PPARG	VDR	1	0.271940053
KLF10	FOSB	1	0.271696701
PPARG	SMAD3	1	0.271562272
KLF10	MAFB	1	0.271216892
PPARG	BCL6	1	0.270554141
MAFB	PRDM1	1	0.270459086
PPARD	NFE2L1	-1	0.269438869
EGR2	ELK1	-1	0.268917156
BCL6	NFYC	1	0.267908868
BCL6	IRF8	-1	0.267278118
KLF10	NFYA	1	0.267246695
BCL6	STAT1	1	0.266437968
PPARG	SNAI1	1	0.266387691
PPARD	MYEF2	1	0.266211244
FOSB	MYEF2	1	0.265320399
VDR	ELK1	1	0.264637073
PRDM1	SMAD3	-1	0.26439578
PRDM1	PRDM1	1	0.263874714
BCL6	CEBPD	1	0.263502462
VDR	NFATC1	1	0.262402217
PRDM1	SNAI1	1	0.261147806
BCL6	RUNX1	-1	0.259194383
PPARD	TFPT	1	0.256846108
FOSB	TFPT	-1	0.256708067
PPARG	KLF13	1	0.25637233
BCL6	TCF3	1	0.255817436
SPIB	JUN	-1	0.253950459
KLF10	CBFB	1	0.253531572
FOSB	CEBPB	1	0.25347946
EGR2	BCL6	1	0.249060476
SPIB	ELK1	1	0.249048548
MAFB	SP3	-1	0.248501669
PRDM1	KLF13	1	0.246511971
PPARG	NFYA	-1	0.24643609
SPI1	BCL6	1	0.245870332
BCL6	NFATC2	-1	0.245536574
PPARD	CEBPB	1	0.244785465
KLF10	UHRF1	1	0.244645599
KLF10	RREB1	1	0.244481999
PPARG	PRDM1	-1	0.244112489
BCL6	HOXA10	-1	0.244011489
MAFB	SMAD3	-1	0.244001782
PRDM1	PPARD	1	0.242665349
PPARD	VDR	1	0.242391378
VDR	BCL6	1	0.239870075
KLF10	SPI1	-1	0.239616917
BCL6	TRIM28	-1	0.23926285
MAFB	PPARD	-1	0.238083977
PRDM1	NFYA	-1	0.238079198
PPARD	PRDM1	1	0.237748557
MAFB	SNAI1	1	0.23746841
FOSB	VDR	-1	0.234610763
MAFB	KLF13	-1	0.233562609
SPIB	NFATC1	-1	0.230568305
PPARG	PPARD	-1	0.230390971
PRDM1	FOSB	-1	0.228374825
BCL6	LMO2	1	0.227562654
PRDM1	MAFB	1	0.227224059
PRDM1	CBFB	-1	0.226694104
MAFB	FOSB	-1	0.225899932
PPARG	RREB1	-1	0.225839813
BCL6	HOXA13	-1	0.22526408
MAFB	MAFB	1	0.225140746
FOSB	SP3	1	0.224941533
KLF10	SMAD4	-1	0.224261199
MAFB	NFYA	1	0.223307427
BCL6	MYB	-1	0.223303755
KLF10	FLI1	-1	0.223164221
KLF10	RXRB	-1	0.22311769
KLF10	TCFL5	1	0.221650776
FOSB	PRDM1	-1	0.221270044
SPI1	PPARG	1	0.220421754
PPARG	CBFB	1	0.21988974
PRDM1	RREB1	-1	0.219243347
SPI1	NFE2L1	-1	0.217996347
PPARG	FOSB	-1	0.217361476
FOSB	SMAD3	-1	0.215388111
PRDM1	UHRF1	-1	0.214778966
PPARG	UHRF1	-1	0.21471366
EGR2	SNAI3	-1	0.214668091
PPARD	SP3	1	0.213454933
FOSB	SNAI1	1	0.212786136
KLF10	IRF8	-1	0.212764954
SPI1	SPIB	-1	0.212259245
KLF10	NFYC	-1	0.212035934
KLF10	STAT1	1	0.211597144
PPARG	MAFB	1	0.211049331
VDR	SNAI3	1	0.210767872
PPARG	FLI1	1	0.21029443
KLF10	CEBPD	-1	0.210282102
SPI1	TFPT	1	0.210006291
PPARD	SMAD3	1	0.209467017
PPARD	PPARD	1	0.209284789
PPARG	TCFL5	-1	0.208497821
FOSB	KLF13	1	0.208332692
SPI1	MYEF2	-1	0.208227623
MAFB	CBFB	1	0.208040522
PPARG	SMAD4	1	0.207329683
PPARD	SNAI1	1	0.206018755
